booking_id,customer_id,driver_id,booking_datetime,booking_date,booking_hour,day_of_week,is_weekend,is_peak_hour,pickup_zone,pickup_zone_type,dropoff_zone,dropoff_zone_type,distance_km,estimated_trip_duration_min,vehicle_type,payment_method,customer_segment,customer_rating,driver_rating,nearby_driver_count,driver_eta_min,weather,is_raining,traffic_level,surge_multiplier,promo_applied,promo_discount_sgd,estimated_fare_sgd,device_os,app_version,previous_customer_cancellations,booking_status,customer_cancelled,cancel_time_after_booking_min,cancel_reason,actual_pickup_wait_min,actual_trip_duration_min,final_fare_sgd
BK2026000624,C101932,D51180,2026-01-11 23:52:38,2026-01-11,23,Sunday,1,0,Punggol,Residential,Yishun,Residential,8.93,18.6,GrabCar,Corporate,Regular,4.32,4.95,7,14.2,Clear,0,High,1.0,0,0,16.16,Android,Outdated,0,Customer Cancelled,1,3.4,Found alternative transport,,,
BK2026006871,C102181,D50903,2026-05-04 23:36:01,2026-05-04,23,Monday,0,0,Punggol,Residential,Bukit Timah,Residential,8.82,13.0,JustGrab,Cash,Regular,4.9,4.72,9,6.6,Clear,0,Low,1.0,0,0,14.62,iOS,Outdated,2,Completed,0,,Not Cancelled,7.2,10.5,12.65
BK2026004814,C100308,D51359,2026-03-28 22:57:04,2026-03-28,22,Saturday,1,0,Punggol,Residential,Changi,Airport,11.25,35.7,JustGrab,Corporate,Regular,4.38,4.94,3,6.5,Clear,0,Severe,1.11,0,0,21.2,iOS,Current,0,Completed,0,,Not Cancelled,12.4,36.7,22.83
BK2026006553,C100665,D50005,2026-04-29 10:58:09,2026-04-29,10,Wednesday,0,0,Ang Mo Kio,Residential,Orchard,Retail,3.66,5.6,JustGrab,Card,Regular,4.89,4.63,3,8.8,Clear,0,Medium,1.0,0,0,8.32,iOS,One version behind,1,Customer Cancelled,1,1.3,Changed mind,,,
BK2026007530,C102378,D51245,2026-05-16 20:27:49,2026-05-16,20,Saturday,1,1,Changi,Airport,Punggol,Residential,13.13,20.0,JustGrab,Corporate,High Value,5.0,4.82,5,12.7,Clear,0,Low,1.06,0,0,20.81,iOS,Current,0,Completed,0,,Not Cancelled,15.5,18.4,19.61
BK2026005796,C102076,D51153,2026-04-14 19:10:33,2026-04-14,19,Tuesday,0,1,Marina Bay,Business/Leisure,Changi,Airport,19.24,41.4,GrabCar Plus,Corporate,Occasional,4.33,4.89,11,6.6,Clear,0,Medium,1.34,0,0,45.31,Android,Current,1,Completed,0,,Not Cancelled,7.8,38.8,46.64
BK2026007437,C100782,D50239,2026-05-15 03:21:28,2026-05-15,3,Friday,0,0,Changi,Airport,Tampines,Residential,21.48,44.7,GrabCar,Card,Regular,4.33,4.74,5,2.2,Clear,0,Medium,1.0,0,0,33.52,iOS,Current,0,Customer Cancelled,1,3.0,Other,,,
BK2026004218,C102683,D50848,2026-03-18 03:20:02,2026-03-18,3,Wednesday,0,0,Punggol,Residential,Orchard,Retail,3.92,6.2,JustGrab,GrabPay,Regular,4.02,4.87,6,8.4,Cloudy,0,Medium,1.0,0,0,8.66,Android,One version behind,2,Customer Cancelled,1,1.2,Found alternative transport,,,
BK2026005941,C100775,D50790,2026-04-17 08:22:51,2026-04-17,8,Friday,0,1,Tampines,Residential,Punggol,Residential,3.83,6.1,GrabFamily,Card,Regular,4.2,4.71,2,7.5,Clear,0,Medium,1.3,0,0,11.22,Android,One version behind,1,Completed,0,,Not Cancelled,8.4,8.9,11.5
BK2026008501,C102720,D50300,2026-06-03 11:52:41,2026-06-03,11,Wednesday,0,0,Tampines,Residential,Bukit Timah,Residential,13.39,26.9,JustGrab,Card,Regular,4.64,4.82,13,1.9,Clear,0,Low,1.0,0,0,21.09,iOS,Current,1,Completed,0,,Not Cancelled,1.7,27.4,21.68
BK2026006429,C101669,D50893,2026-04-26 17:28:15,2026-04-26,17,Sunday,1,1,Jurong East,Residential/Commercial,Punggol,Residential,5.96,15.9,JustGrab,Card,Occasional,4.7,4.55,7,19.7,Cloudy,0,Severe,1.31,0,0,13.91,Android,Current,1,Customer Cancelled,1,14.0,Fare too high,,,
BK2026006827,C101451,D50161,2026-05-04 04:44:59,2026-05-04,4,Monday,0,0,Changi,Airport,Queenstown,Residential,20.49,30.4,GrabCar,GrabPay,Occasional,5.0,4.64,6,4.0,Cloudy,0,Low,1.0,0,0,30.68,iOS,Outdated,2,Customer Cancelled,1,0.8,Changed mind,,,
BK2026004131,C102893,D51388,2026-03-16 22:28:44,2026-03-16,22,Monday,0,0,Jurong East,Residential/Commercial,CBD,Business,1.74,4.0,JustGrab,GrabPay,New,4.5,4.84,9,8.7,Clear,0,Low,1.0,1,2,4.11,Android,Current,1,Completed,0,,Not Cancelled,7.8,3.0,3.85
BK2026007802,C100380,D51495,2026-05-21 22:15:27,2026-05-21,22,Thursday,0,0,Orchard,Retail,Clementi,Residential/Student,13.21,28.5,GrabCar Plus,Card,Occasional,4.65,4.5,10,3.0,Clear,0,Medium,1.0,0,0,25.95,Android,Current,1,Completed,0,,Not Cancelled,6.5,21.9,27.12
BK2026007754,C102347,D50281,2026-05-20 22:44:56,2026-05-20,22,Wednesday,0,0,Tampines,Residential,Tampines,Residential,4.2,8.0,GrabCar Plus,Card,Occasional,4.84,4.68,10,2.0,Clear,0,Medium,1.0,1,3,7.71,Android,Current,0,Completed,0,,Not Cancelled,1.9,13.0,8.07
BK2026004722,C100651,D51379,2026-03-27 07:34:37,2026-03-27,7,Friday,0,1,CBD,Business,Orchard,Retail,10.42,25.1,JustGrab,Card,Occasional,4.86,4.65,6,9.3,Clear,0,Severe,1.47,1,2,20.9,iOS,One version behind,0,Completed,0,,Not Cancelled,8.4,23.8,21.04
BK2026001651,C101957,D50542,2026-01-30 20:58:28,2026-01-30,20,Friday,0,1,CBD,Business,Woodlands,Residential,7.43,11.0,GrabShare,Corporate,Occasional,4.43,4.69,8,10.3,Cloudy,0,Medium,1.32,0,0,13.87,Android,Current,2,Customer Cancelled,1,3.9,Wrong pickup/dropoff,,,
BK2026004141,C101238,D50921,2026-03-17 02:35:19,2026-03-17,2,Tuesday,0,0,Woodlands,Residential,Woodlands,Residential,2.86,4.0,GrabCar Plus,Card,Occasional,4.54,4.42,5,2.9,Cloudy,0,Low,1.0,0,0,8.33,Android,Current,0,Driver Cancelled,0,,Not Cancelled,,,
BK2026001618,C100823,D50585,2026-01-30 09:02:02,2026-01-30,9,Friday,0,1,Bukit Timah,Residential,CBD,Business,4.02,6.6,GrabCar,GrabPay,Regular,4.58,4.53,6,5.4,Clear,0,Medium,1.32,0,0,10.61,Android,One version behind,1,Completed,0,,Not Cancelled,4.6,7.8,9.31
BK2026002030,C101747,D51272,2026-02-06 06:41:14,2026-02-06,6,Friday,0,0,Bukit Timah,Residential,Jurong East,Residential/Commercial,6.15,8.1,GrabCar,Corporate,Occasional,4.92,4.97,10,1.2,Cloudy,0,Low,1.0,0,0,11.75,Android,Current,0,Customer Cancelled,1,0.4,Fare too high,,,
BK2026008518,C101211,D50523,2026-06-03 17:46:56,2026-06-03,17,Wednesday,0,1,Yishun,Residential,Woodlands,Residential,6.78,10.1,GrabCar,Card,Regular,4.41,4.61,5,12.0,Clear,0,Medium,1.09,1,8,5.39,Android,Current,0,Completed,0,,Not Cancelled,11.5,8.1,4.63
BK2026004576,C102268,D51479,2026-03-24 16:36:09,2026-03-24,16,Tuesday,0,0,Jurong East,Residential/Commercial,Woodlands,Residential,10.13,20.4,GrabCar Plus,Card,Regular,4.42,4.71,7,4.9,Clear,0,High,1.0,0,0,20.61,Android,Current,0,Completed,0,,Not Cancelled,6.2,23.4,18.44
BK2026003993,C101352,D50902,2026-03-14 00:21:02,2026-03-14,0,Saturday,1,0,Sentosa,Leisure,Changi,Airport,27.74,56.7,JustGrab,Cash,Occasional,4.22,4.56,3,1.9,Cloudy,0,Medium,1.0,1,2,37.73,Android,Current,2,Completed,0,,Not Cancelled,3.7,57.0,39.08
BK2026007377,C103171,D50792,2026-05-13 22:21:59,2026-05-13,22,Wednesday,0,0,Ang Mo Kio,Residential,Woodlands,Residential,9.73,19.1,GrabFamily,Cash,Regular,4.42,4.59,6,10.2,Cloudy,0,Medium,1.0,0,0,19.17,Android,One version behind,0,Completed,0,,Not Cancelled,11.9,18.0,16.49
BK2026006150,C101172,D51009,2026-04-21 08:59:47,2026-04-21,8,Tuesday,0,1,Clementi,Residential/Student,Serangoon,Residential,5.74,9.9,GrabFamily,Cash,Occasional,4.4,4.6,7,7.6,Clear,0,Medium,1.33,1,3,12.25,Android,One version behind,1,Completed,0,,Not Cancelled,9.2,5.2,13.34
BK2026004909,C101237,D51338,2026-03-30 10:51:55,2026-03-30,10,Monday,0,0,Sentosa,Leisure,CBD,Business,20.97,44.2,GrabFamily,Card,Regular,4.57,4.8,6,6.7,Clear,0,Medium,1.0,0,0,37.29,iOS,Current,0,Completed,0,,Not Cancelled,6.7,52.2,36.36
BK2026005027,C100141,D51432,2026-04-01 16:42:19,2026-04-01,16,Wednesday,0,0,Changi,Airport,Jurong East,Residential/Commercial,20.03,36.2,GrabCar,Card,Regular,5.0,4.89,7,8.1,Clear,0,Medium,1.0,0,0,30.86,iOS,Current,1,Completed,0,,Not Cancelled,9.1,34.0,29.7
BK2026008261,C101264,D50560,2026-05-29 21:06:53,2026-05-29,21,Friday,0,0,CBD,Business,Tampines,Residential,10.21,19.8,JustGrab,GrabPay,Regular,4.46,4.64,11,8.2,Cloudy,0,Low,1.0,0,0,16.9,iOS,Current,1,Completed,0,,Not Cancelled,12.9,14.2,16.09
BK2026004732,C102639,D50752,2026-03-27 10:25:06,2026-03-27,10,Friday,0,0,CBD,Business,Changi,Airport,11.09,21.4,GrabFamily,Cash,Regular,4.49,4.99,7,1.9,Cloudy,0,Low,1.0,0,0,21.27,iOS,Current,0,Completed,0,,Not Cancelled,5.0,25.9,23.74
BK2026007549,C102277,D50693,2026-05-17 03:25:47,2026-05-17,3,Sunday,1,0,Marina Bay,Business/Leisure,Serangoon,Residential,9.09,31.7,JustGrab,Card,New,4.33,4.92,10,9.8,Light Rain,1,Severe,1.25,0,0,19.53,iOS,Current,0,Completed,0,,Not Cancelled,13.6,37.0,19.73
BK2026008135,C100687,D51214,2026-05-27 23:31:03,2026-05-27,23,Wednesday,0,0,Bukit Timah,Residential,Woodlands,Residential,5.89,10.6,JustGrab,Card,Regular,4.83,4.8,15,5.0,Cloudy,0,Low,1.0,0,0,11.26,iOS,Current,1,Completed,0,,Not Cancelled,4.2,4.1,9.97
BK2026001607,C102044,D51475,2026-01-30 05:46:26,2026-01-30,5,Friday,0,0,CBD,Business,Woodlands,Residential,21.59,37.1,GrabCar Plus,GrabPay,Regular,4.7,5.0,8,7.4,Clear,0,Low,1.0,0,0,38.86,iOS,Current,0,Completed,0,,Not Cancelled,9.1,39.2,41.56
BK2026004774,C100487,D50146,2026-03-28 02:46:41,2026-03-28,2,Saturday,1,0,Marina Bay,Business/Leisure,Punggol,Residential,6.05,9.2,JustGrab,Card,Occasional,4.72,4.31,8,6.5,Light Rain,1,Medium,1.16,0,0,12.27,Android,Current,0,Completed,0,,Not Cancelled,10.8,7.6,12.58
BK2026008110,C102837,D50847,2026-05-27 15:27:57,2026-05-27,15,Wednesday,0,0,Marina Bay,Business/Leisure,Orchard,Retail,5.23,9.4,JustGrab,Card,Regular,4.58,4.41,10,9.4,Light Rain,1,High,1.09,0,0,10.91,iOS,Current,0,Completed,0,,Not Cancelled,10.8,11.5,13.15
BK2026006952,C100015,D50110,2026-05-06 14:04:31,2026-05-06,14,Wednesday,0,0,Punggol,Residential,CBD,Business,4.19,6.1,JustGrab,GrabPay,Occasional,4.91,4.95,13,1.0,Clear,0,Medium,1.0,0,0,8.93,iOS,Current,1,Completed,0,,Not Cancelled,1.9,10.7,10.49
BK2026006005,C102059,D50782,2026-04-18 14:12:05,2026-04-18,14,Saturday,1,0,Orchard,Retail,Clementi,Residential/Student,9.53,14.8,GrabCar,GrabPay,Occasional,4.95,4.82,11,8.4,Heavy Rain,1,Medium,1.16,0,0,18.11,iOS,Current,3,Customer Cancelled,1,15.0,App or payment issue,,,
BK2026007729,C100242,D51270,2026-05-20 12:22:10,2026-05-20,12,Wednesday,0,0,Yishun,Residential,Ang Mo Kio,Residential,5.01,6.6,JustGrab,Cash,High Value,4.91,4.85,9,6.9,Cloudy,0,Low,1.0,0,0,9.85,iOS,One version behind,0,Completed,0,,Not Cancelled,7.7,6.1,12.15
BK2026003542,C101162,D50579,2026-03-06 00:35:43,2026-03-06,0,Friday,0,0,Marina Bay,Business/Leisure,Serangoon,Residential,3.91,6.3,JustGrab,GrabPay,Occasional,4.53,4.92,9,7.2,Clear,0,Medium,1.0,0,0,8.66,iOS,Outdated,1,Completed,0,,Not Cancelled,6.3,8.1,7.61
BK2026000389,C102758,D51407,2026-01-07 15:49:03,2026-01-07,15,Wednesday,0,0,Sentosa,Leisure,Serangoon,Residential,9.07,13.0,JustGrab,Cash,New,4.65,4.71,11,3.1,Light Rain,1,Low,1.11,0,0,15.93,Android,One version behind,0,Completed,0,,Not Cancelled,2.5,16.7,16.83
BK2026001795,C101509,D50303,2026-02-02 12:18:32,2026-02-02,12,Monday,0,0,CBD,Business,Punggol,Residential,14.9,35.7,JustGrab,Card,Occasional,5.0,4.66,11,3.3,Light Rain,1,High,1.06,0,0,24.67,Android,Current,0,Completed,0,,Not Cancelled,3.5,22.8,24.93
BK2026008732,C101862,D50059,2026-06-08 09:56:36,2026-06-08,9,Monday,0,1,Sentosa,Leisure,Serangoon,Residential,8.22,21.3,JustGrab,Card,Occasional,4.48,4.54,8,14.4,Heavy Rain,1,Severe,1.51,1,2,17.39,iOS,One version behind,1,Customer Cancelled,1,7.2,App or payment issue,,,
BK2026004920,C102113,D50332,2026-03-30 14:30:38,2026-03-30,14,Monday,0,0,Woodlands,Residential,Ang Mo Kio,Residential,9.1,16.6,JustGrab,GrabPay,High Value,4.75,4.66,10,3.7,Clear,0,Low,1.0,0,0,15.35,Android,One version behind,0,Completed,0,,Not Cancelled,4.9,24.5,15.15
BK2026005538,C102808,D50317,2026-04-10 15:14:56,2026-04-10,15,Friday,0,0,Serangoon,Residential,Queenstown,Residential,1.21,4.0,GrabCar,Cash,Regular,5.0,4.76,6,7.1,Heavy Rain,1,High,1.17,1,3,4.0,iOS,Current,0,Customer Cancelled,1,8.0,Fare too high,,,
BK2026003873,C102972,D50159,2026-03-11 22:28:02,2026-03-11,22,Wednesday,0,0,Orchard,Retail,Bukit Timah,Residential,9.6,18.8,JustGrab,GrabPay,Regular,4.54,4.5,11,1.5,Clear,0,Medium,1.0,0,0,16.14,iOS,One version behind,0,Driver Cancelled,0,,Not Cancelled,,,
BK2026008869,C102827,D50254,2026-06-10 19:20:29,2026-06-10,19,Wednesday,0,1,Bukit Timah,Residential,CBD,Business,18.27,36.2,JustGrab,Cash,New,4.94,4.7,6,6.3,Clear,0,High,1.21,0,0,31.36,Android,Current,2,Completed,0,,Not Cancelled,10.2,33.6,32.75
BK2026002255,C100102,D50967,2026-02-10 17:35:45,2026-02-10,17,Tuesday,0,1,Serangoon,Residential,Marina Bay,Business/Leisure,9.08,14.6,JustGrab,Card,Occasional,4.53,4.81,6,3.7,Cloudy,0,Medium,1.23,0,0,17.28,Android,Current,1,Customer Cancelled,1,4.2,Wrong pickup/dropoff,,,
BK2026003413,C102554,D51015,2026-03-03 16:31:15,2026-03-03,16,Tuesday,0,0,CBD,Business,Orchard,Retail,12.88,25.2,JustGrab,Card,Occasional,4.38,4.9,12,6.1,Light Rain,1,High,1.17,0,0,22.65,Android,Outdated,2,Completed,0,,Not Cancelled,8.0,30.3,22.79
BK2026005460,C100522,D50559,2026-04-09 01:57:31,2026-04-09,1,Thursday,0,0,Clementi,Residential/Student,Ang Mo Kio,Residential,8.35,12.7,GrabCar Plus,GrabPay,Regular,4.29,4.63,9,3.2,Cloudy,0,Low,1.0,0,0,17.16,Android,Current,0,Completed,0,,Not Cancelled,3.1,16.6,18.48
BK2026004956,C102035,D50471,2026-03-31 05:50:09,2026-03-31,5,Tuesday,0,0,Sentosa,Leisure,Bukit Timah,Residential,17.95,41.0,GrabCar,Cash,New,5.0,4.07,10,4.7,Clear,0,Medium,1.0,1,5,24.08,iOS,One version behind,0,Completed,0,,Not Cancelled,4.9,44.5,24.68
BK2026007397,C100145,D50366,2026-05-14 06:08:21,2026-05-14,6,Thursday,0,0,Orchard,Retail,Tampines,Residential,6.29,13.5,GrabCar,GrabPay,Occasional,4.33,4.77,9,1.9,Clear,0,Medium,1.0,0,0,12.55,Android,One version behind,0,Driver Cancelled,0,,Not Cancelled,,,
BK2026005415,C102461,D50800,2026-04-08 05:53:45,2026-04-08,5,Wednesday,0,0,CBD,Business,Sentosa,Leisure,13.42,25.4,JustGrab,GrabPay,High Value,5.0,4.48,11,1.6,Cloudy,0,Medium,1.0,0,0,20.94,iOS,Current,1,Customer Cancelled,1,1.9,Driver took too long,,,
BK2026007400,C100162,D50165,2026-05-14 08:15:51,2026-05-14,8,Thursday,0,1,Changi,Airport,Clementi,Residential/Student,18.18,38.3,JustGrab,Card,New,4.32,4.95,2,10.0,Cloudy,0,Medium,1.26,0,0,32.45,iOS,Current,2,Customer Cancelled,1,5.8,Changed mind,,,
BK2026007415,C100914,D51427,2026-05-14 15:42:25,2026-05-14,15,Thursday,0,0,Punggol,Residential,CBD,Business,8.51,16.2,GrabCar,Card,Occasional,4.64,4.78,4,5.5,Clear,0,Medium,1.0,0,0,15.39,iOS,Current,0,Completed,0,,Not Cancelled,6.5,20.7,16.73
BK2026009101,C100711,D50020,2026-06-14 22:03:58,2026-06-14,22,Sunday,1,0,Ang Mo Kio,Residential,Yishun,Residential,20.34,38.4,GrabCar Plus,Card,New,4.91,4.85,9,4.2,Heavy Rain,1,High,1.16,0,0,41.85,Android,One version behind,0,Completed,0,,Not Cancelled,5.4,37.0,41.18
BK2026004852,C102994,D50528,2026-03-29 12:57:59,2026-03-29,12,Sunday,1,0,Woodlands,Residential,Sentosa,Leisure,10.44,16.5,JustGrab,GrabPay,Occasional,4.92,4.82,7,11.9,Light Rain,1,Medium,1.07,0,0,17.51,iOS,Current,1,Customer Cancelled,1,4.1,Changed mind,,,
BK2026002026,C101823,D50455,2026-02-06 05:02:23,2026-02-06,5,Friday,0,0,Changi,Airport,CBD,Business,11.94,21.7,JustGrab,Cash,Regular,4.49,4.75,7,2.2,Clear,0,Medium,1.0,0,0,18.94,iOS,One version behind,2,Completed,0,,Not Cancelled,3.4,26.1,19.24
BK2026002616,C100535,D50876,2026-02-17 17:01:38,2026-02-17,17,Tuesday,0,1,Orchard,Retail,Bukit Timah,Residential,7.21,11.1,JustGrab,Card,Regular,4.46,4.72,6,5.1,Clear,0,Medium,1.13,0,0,13.69,iOS,Current,1,Completed,0,,Not Cancelled,1.4,9.6,12.95
BK2026007389,C101526,D51135,2026-05-14 01:33:01,2026-05-14,1,Thursday,0,0,Jurong East,Residential/Commercial,Marina Bay,Business/Leisure,8.05,13.0,GrabCar,Card,Occasional,4.78,4.9,8,10.7,Cloudy,0,Medium,1.0,0,0,14.49,Android,Current,1,Customer Cancelled,1,4.5,App or payment issue,,,
BK2026002927,C100211,D50546,2026-02-22 22:20:40,2026-02-22,22,Sunday,1,0,Marina Bay,Business/Leisure,Tampines,Residential,7.83,17.4,GrabCar,GrabPay,Regular,4.2,4.29,11,7.2,Heavy Rain,1,High,1.2,0,0,16.54,iOS,Current,1,Completed,0,,Not Cancelled,9.2,15.0,14.57
BK2026001122,C100324,D51287,2026-01-21 11:25:01,2026-01-21,11,Wednesday,0,0,Clementi,Residential/Student,Changi,Airport,14.07,28.6,JustGrab,Card,Regular,5.0,4.64,4,4.9,Cloudy,0,High,1.0,0,0,22.01,iOS,Outdated,2,Customer Cancelled,1,7.0,Fare too high,,,
BK2026002911,C103101,D50522,2026-02-22 12:03:09,2026-02-22,12,Sunday,1,0,Changi,Airport,Ang Mo Kio,Residential,24.38,35.9,JustGrab,Card,Regular,4.85,4.63,4,1.6,Light Rain,1,Medium,1.21,0,0,39.08,iOS,Current,0,Completed,0,,Not Cancelled,6.6,37.0,39.81
BK2026008147,C101201,D50223,2026-05-28 06:39:41,2026-05-28,6,Thursday,0,0,Jurong East,Residential/Commercial,Sentosa,Leisure,19.36,31.0,JustGrab,Card,Regular,4.53,4.69,8,2.7,Clear,0,Medium,1.0,0,0,27.85,iOS,Current,1,Completed,0,,Not Cancelled,1.9,28.8,27.33
BK2026007384,C100294,D51458,2026-05-13 23:55:13,2026-05-13,23,Wednesday,0,0,Ang Mo Kio,Residential,Punggol,Residential,9.62,15.1,JustGrab,GrabPay,Occasional,4.12,4.67,7,15.5,Clear,0,Medium,1.0,1,8,7.71,Android,Current,1,Completed,0,,Not Cancelled,17.3,16.6,6.77
BK2026003483,C100890,D50273,2026-03-04 19:50:03,2026-03-04,19,Wednesday,0,1,Jurong East,Residential/Commercial,Queenstown,Residential,5.59,8.3,JustGrab,Corporate,Occasional,4.49,4.74,4,4.6,Cloudy,0,Low,1.29,0,0,12.37,Android,Current,1,Completed,0,,Not Cancelled,10.5,11.6,9.83
BK2026000796,C102663,D51043,2026-01-15 03:32:02,2026-01-15,3,Thursday,0,0,Serangoon,Residential,Jurong East,Residential/Commercial,9.45,16.7,JustGrab,GrabPay,Occasional,4.77,4.74,12,12.4,Cloudy,0,Low,1.0,1,8,7.73,iOS,Current,0,Completed,0,,Not Cancelled,10.6,21.8,8.53
BK2026001576,C101955,D51135,2026-01-29 15:44:51,2026-01-29,15,Thursday,0,0,Orchard,Retail,Changi,Airport,23.71,50.7,GrabCar Plus,GrabPay,Occasional,5.0,4.94,14,3.5,Cloudy,0,Low,1.0,1,5,38.49,iOS,Current,1,Completed,0,,Not Cancelled,4.7,50.4,38.51
BK2026006177,C100818,D51389,2026-04-21 22:54:21,2026-04-21,22,Tuesday,0,0,Ang Mo Kio,Residential,Queenstown,Residential,6.17,11.0,GrabCar,Cash,Occasional,4.9,4.83,4,4.4,Clear,0,Medium,1.0,0,0,12.12,Android,Current,0,Completed,0,,Not Cancelled,1.5,11.6,11.3
BK2026006267,C101948,D50495,2026-04-23 16:38:00,2026-04-23,16,Thursday,0,0,Clementi,Residential/Student,Yishun,Residential,6.59,13.3,JustGrab,GrabPay,Regular,4.96,4.83,9,1.8,Clear,0,Medium,1.0,0,0,12.32,iOS,One version behind,0,Completed,0,,Not Cancelled,4.4,13.4,13.33
BK2026002459,C102221,D50534,2026-02-14 12:18:52,2026-02-14,12,Saturday,1,0,Punggol,Residential,Tampines,Residential,16.63,24.5,GrabCar,GrabPay,New,4.37,4.71,8,3.0,Cloudy,0,Medium,1.0,1,3,22.6,iOS,One version behind,2,Completed,0,,Not Cancelled,3.3,25.6,20.95
BK2026003313,C101212,D51165,2026-03-01 15:26:26,2026-03-01,15,Sunday,1,0,Sentosa,Leisure,Changi,Airport,19.39,52.3,GrabCar,Cash,Regular,4.56,4.86,8,11.2,Light Rain,1,Severe,1.16,0,0,35.58,Android,Current,0,Completed,0,,Not Cancelled,14.4,59.5,36.49
BK2026001254,C100731,D50755,2026-01-24 00:54:46,2026-01-24,0,Saturday,1,0,Orchard,Retail,Yishun,Residential,7.72,14.7,GrabCar,GrabPay,New,5.0,4.7,10,2.2,Clear,0,Medium,1.0,1,8,6.32,Android,Current,0,Completed,0,,Not Cancelled,0.6,12.9,4.8
BK2026006835,C100253,D50438,2026-05-04 08:26:27,2026-05-04,8,Monday,0,1,Yishun,Residential,Bukit Timah,Residential,3.32,6.0,JustGrab,GrabPay,Regular,4.6,4.9,3,3.3,Clear,0,Medium,1.26,0,0,8.91,iOS,One version behind,1,Completed,0,,Not Cancelled,3.0,4.6,8.77
BK2026008795,C100513,D51416,2026-06-09 15:03:52,2026-06-09,15,Tuesday,0,0,Tampines,Residential,Orchard,Retail,4.06,8.3,GrabCar,Card,Occasional,4.7,4.96,9,9.5,Cloudy,0,High,1.0,0,0,9.4,Android,One version behind,0,Completed,0,,Not Cancelled,11.2,5.9,11.19
BK2026003838,C102367,D50250,2026-03-11 10:44:26,2026-03-11,10,Wednesday,0,0,Orchard,Retail,Serangoon,Residential,10.62,20.4,JustGrab,GrabPay,Regular,4.56,4.65,9,1.7,Cloudy,0,Medium,1.0,1,2,15.4,iOS,Current,1,Completed,0,,Not Cancelled,3.2,21.2,15.94
BK2026004399,C100727,D50149,2026-03-21 11:37:20,2026-03-21,11,Saturday,1,0,Orchard,Retail,Marina Bay,Business/Leisure,9.24,13.9,GrabCar,Corporate,New,4.69,4.73,9,7.6,Clear,0,Low,1.0,1,2,13.95,iOS,Current,2,Completed,0,,Not Cancelled,5.4,17.0,12.55
BK2026003596,C102949,D50171,2026-03-06 23:32:48,2026-03-06,23,Friday,0,0,Queenstown,Residential,Tampines,Residential,5.6,7.3,JustGrab,Cash,New,4.63,4.82,8,11.5,Cloudy,0,Low,1.0,0,0,10.56,iOS,One version behind,1,Completed,0,,Not Cancelled,11.6,6.5,12.14
BK2026006622,C102487,D51051,2026-04-30 13:12:16,2026-04-30,13,Thursday,0,0,Tampines,Residential,Marina Bay,Business/Leisure,3.53,6.2,GrabFamily,Card,New,4.66,4.7,4,5.8,Light Rain,1,Medium,1.14,1,2,7.95,Android,Current,0,Customer Cancelled,1,4.7,Fare too high,,,
BK2026008383,C102213,D50752,2026-06-01 04:36:54,2026-06-01,4,Monday,0,0,Bukit Timah,Residential,Clementi,Residential/Student,11.86,22.7,GrabCar Plus,GrabPay,Occasional,4.98,4.79,11,2.5,Cloudy,0,Low,1.0,1,5,18.34,iOS,One version behind,0,Completed,0,,Not Cancelled,4.4,19.2,18.34
BK2026002125,C102061,D50240,2026-02-08 05:40:11,2026-02-08,5,Sunday,1,0,Clementi,Residential/Student,Jurong East,Residential/Commercial,15.34,32.3,JustGrab,Cash,Regular,4.77,4.47,8,1.5,Clear,0,Medium,1.0,0,0,23.78,Android,Current,0,Completed,0,,Not Cancelled,2.6,36.6,24.63
BK2026003239,C101740,D50259,2026-02-28 05:51:51,2026-02-28,5,Saturday,1,0,Queenstown,Residential,Clementi,Residential/Student,11.4,21.6,GrabCar,Cash,Regular,4.95,4.76,6,1.6,Clear,0,High,1.0,0,0,19.32,Android,Current,0,Completed,0,,Not Cancelled,3.4,23.3,20.21
BK2026005404,C100512,D50583,2026-04-08 02:19:38,2026-04-08,2,Wednesday,0,0,Changi,Airport,Orchard,Retail,18.94,39.3,GrabCar,GrabPay,Occasional,5.0,4.83,10,2.3,Clear,0,Medium,1.0,0,0,29.99,iOS,Current,0,Completed,0,,Not Cancelled,0.5,36.8,29.81
BK2026005999,C100535,D50429,2026-04-18 11:27:10,2026-04-18,11,Saturday,1,0,Punggol,Residential,Marina Bay,Business/Leisure,4.87,9.4,GrabCar Plus,Card,Occasional,4.89,4.62,9,4.6,Heavy Rain,1,High,1.1,1,5,7.52,iOS,Current,1,Completed,0,,Not Cancelled,2.9,3.0,5.94
BK2026005939,C103069,D50037,2026-04-17 08:09:05,2026-04-17,8,Friday,0,1,Changi,Airport,Changi,Airport,1.56,4.0,GrabCar,Card,Regular,4.71,4.93,6,12.3,Clear,0,Severe,1.47,0,0,6.88,Android,Current,0,Completed,0,,Not Cancelled,13.8,5.2,5.35
BK2026002046,C102763,D50148,2026-02-06 11:54:41,2026-02-06,11,Friday,0,0,Sentosa,Leisure,CBD,Business,10.46,15.7,GrabCar,Corporate,Regular,4.05,4.57,8,9.1,Cloudy,0,Low,1.0,0,0,17.55,iOS,Current,0,Completed,0,,Not Cancelled,10.7,12.8,15.92
